guid,category,active,published,eventdate,title,body
"2007-11-07 13:01:50 +0100",1,1,"2007-11-07 13:01:50 +0100",2007-10-05,"Głosy dla hospicjum - festyn i koncert dla dzieci","<H4>W sobotę Wrocławskie Hospicjum dla Dzieci zorganizowało festyn i koncert dla dzieci, a hospicjum zakonu bonifratrów koncert w filharmonii. Imprezy były częścią światowej akcji ""Głosy dla hospicjów"". </H4>
<SCRIPT language=JavaScript src=""/info/text.js"" type=text/javascript></SCRIPT>

<DIV id=rel>
<DIV class=rel_zdj>
<DIV class=zdj_i_opis><A onmouseover=""window.status='Zobacz powiekszenie...'; return true"" onmouseout=""window.status=''; return true"" href=""javascript:pop('/aliasy/mod/super_zoom.jsp?xx=4555401',740,630)""><IMG alt=""Zobacz powiekszenie"" hspace=0 src=""http://bi.gazeta.pl/im/1/4555/z4555401N.jpg"" border=0></A><BR></DIV>
<DIV class=zdjP><A onmouseover=""window.status='Zobacz powiekszenie...'; return true"" onmouseout=""window.status=''; return true"" href=""javascript:pop('/aliasy/mod/super_zoom.jsp?xx=4555401',740,630)""></A>&nbsp;</DIV>
<DIV class=zdj_i_opis><EM>Fot. Natalia Dobryszycka / AG </EM></DIV>
<DIV class=zdj_i_opis><EM><STRONG>Podczas festynu zabawy nie brakowało</STRONG></EM></DIV>
<DIV class=zdj_i_opis>&nbsp;</DIV><!--zdj_i_opis--></DIV><!--rel_zdj--></DIV><!--rel-->
<DIV id=art2><!-- klucze: false |  | param.POKAZUJ_KLUCZE uuuummm --><!--<ilosc_stron>0</ilosc_stron>-->
<DIV id=artykul>Podczas festynu pod bazyliką garnizonową św. Elżbiety można było wziąć udział w zabawach dla dzieci, wysłuchać zespołu Łobuzy Jezusa, rozdawano też ulotki zachęcające do zostania wolontariuszem. <BR><BR>- Chcemy zwrócić uwagę na działanie hospicjów. Zwykli, niedotknięci problemem choroby ludzie wiedzą na ich temat niewiele - twierdzi Waldemar Gołębiewski, założyciel fundacji Na Ratunek Dzieciom z Chorobą Nowotworową Wrocławskie Hospicjum dla Dzieci. - Ale także wśród lekarzy wiedza o opiece paliatywnej nie jest duża. Żaden z pacjentów, którzy do nas trafili, nie został tu skierowany przez lekarza rodzinnego, po prostu bardzo dużo ludzi nie wie o tej formie pomocy.<BR><BR>Wieczorem w filharmonii odbył się koncert, z którego dochód zostanie przekazany na wsparcie działalności Hospicjum Domowego przy Dolnośląskim Centrum Onkologii i Hospicjum Ojców Bonifratrów. Jego organizatorzy liczą na zebranie około 20 tys. zł.<BR><BR>- Dzięki koncertowi chcemy przekonać ludzi, że hospicjum to nie umieralnia, ale miejsce, gdzie człowiek ciężko chory jest dalej człowiekiem - mówi Anna Orońska, kierowniczka hospicjum domowego i konsultantka medycyny paliatywnej dla Dolnego Śląska.<BR><BR>Środki uzyskane z koncertu zostaną podzielone pomiędzy obydwa hospicja. Dzięki temu zostaną zakupione odżywki dla chorych, materiał opatrunkowe i materace przeciwodleżynowe. Placówki będą też mogły wspierać dzieci, których rodzice korzystają z ich pomocy.<BR><BR>W ramach Światowego Dnia Hospicjów na całym świecie pod hasłem ""Głosy dla hospicjów"" odbyło się około tysiąca koncertów.<BR><BR></DIV>
<DIV id=source><EM><SPAN>Źródło: </SPAN><STRONG>Gazeta Wyborcza Wrocław</STRONG></EM></DIV></DIV>"
"2007-11-06 20:31:04 +0100",1,1,"2007-11-06 20:31:04 +0100",2007-11-06,"Nasza fundacja otrzymała status Organizacji Pożytku Publicznego","<P align=center><IMG height=70 hspace=30 src=""http://www.flyhouse.pl/hospicjum/jpg/opp.gif"" width=70></P>
<P>Z wielką radością informujemy, że Fundacja ""Wrocławskie Hospicjum dla dzieci"" uzyskała status <STRONG>Organizacji Pożytku Publicznego</STRONG>. Dzięki temu rozliczając się z fiskusem będziecie mogli Państwo przekazać 1% swojego podatku na opiekę nad pacjentami fundacji. </P>"
"2008-01-27 13:17:48 +0100",1,1,"2008-01-27 13:17:48 +0100",2008-01-15,"Przekaż 1% podatku na rzecz naszych małych podopiecznych","<P><SPAN style=""FONT-FAMILY: Arial"">Rozpoczął się okres rocznych rozliczeń podatkowych. To doskonała okazja, by wspomóc działalność naszej fundacji i opiekę nad małymi pacjentami. Będziemy wdzięczni za każdą złotówkę przekazanę na rzecz naszych podopiecznych.</SPAN></P>
<P><SPAN style=""FONT-FAMILY: Arial"">Zapraszamy do odwiedzenia <A href=""http://www.hospicjum.wroc.pl/index.php?hosp=11_00""><STRONG>strony</STRONG></A> zawierającej wszystkie informacje nt. sposobu przekazania 1% podatku fundacji ""Wrocławskie Hospicjum dla Dzieci"".</SPAN></P>"
"2008-10-06 21:45:57 +0100",1,,"2008-10-06 21:45:57 +0100",2008-10-06,"Wielkie Tchnienie Życia &#8211; relacja","<span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';""><font size=""2""><span style=""font-family: 'Arial','sans-serif';"">
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';"">&#8222;<font size=""2"">Wielkie Tchnienie Życia&#8221; rozpoczęło się o godzinie 11.00 uroczystą Mszą Świętą w kościele pod wezwaniem św. Ignacego Loyoli, w której uczestniczyli pacjenci i rodziny osób objętych opieką Fundacji &#8222;Wrocławskie Hospicjum dla Dzieci&#8221;. Nabożeństwo celebrował ksiądz kapelan Grzegorz Tabaka, a śpiewem uświetnił chór Klakierki. Drobny poczęstunek w sali spotkań i przedstawienie &#8222;Bracia korsykańscy&#8221; A. Dumasa zrealizowane przez Wrocławski Teatr Lalek bezpośrednio poprzedziły główną część uroczystości. <o:p></o:p></font></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';""><o:p><font size=""2"">&nbsp;</font></o:p></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';""><font size=""2"">Śmiało można powiedzieć, że wrocławski Rynek z pewnością widział już bardzo wiele, ale tylu mydlanych baniek nie pamiętali najstarsi spośród wrocławian, którzy spotkali się w sobotnie popołudnie, by wziąć udział w obchodach Światowego Dnia Hospicjów i Opieki Paliatywnej. &#8222;Wielkie Tchnienie Życia&#8221;, zgodnie z intencją Fundacji, stało się rodzinnym happeningiem metaforycznie pokazującym piękno i kruchość ludzkiego życia. <o:p></o:p></font></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';""><o:p><font size=""2"">&nbsp;</font></o:p></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';""><font size=""2"">Przedsięwzięcie uświetnili profesjonaliści, którzy w swoje bańki potrafili zamknąć człowieka lub stworzyć je gołymi rękami. Punkt kulminacyjny nastąpił o godzinie 16.00, kiedy to przy dźwiękach werbli i trąbki sygnałowej wspólnie puszczało bańki ponad czterysta osób. Lekarze, aktorzy a przede wszystkim nieocenieni wolontariusze gorąco dopingowali zgromadzonych, by ich dzieła przybrały na chwilę kształt i kolor jedyny w swoim rodzaju i wzniosły się w stronę wyjątkowo gorącego październikowego słońca. Z pewnego źródła wiemy, że happening odwiedziły także krasnale, ale ich bańki widzieli, jak zwykle tylko nieliczni</font>.</span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';""></span>&nbsp;</p><span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';"">
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';""><font size=""2"">Zapraszamy do odwiedzenia&nbsp;<a href=""http://www.hospicjum.wroc.pl/index.php?hosp=9_01&amp;id_galerii=20081021212405"">galerii</a>,</font></span><span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';""><font size=""2"">&nbsp;<span style="""">&nbsp;</span>gdzie znajdziecie odrobinę naszych wspomnień z październikowego popołudnia, w które wspólnie tchnęliśmy życie.</font></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';""><font size=""2""></font></span>&nbsp;</p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 11pt; font-family: 'Trebuchet MS','sans-serif';""><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;<img src=""http://maluchy.pl/artykuly/wtz_podziekowania.jpg"" border=""0""><br>&nbsp;&nbsp;&nbsp;&nbsp;<br><br>&nbsp;&nbsp;&nbsp;&nbsp;<br>&nbsp;&nbsp;&nbsp;&nbsp;<br><br><br><br>&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;</span></p></span></span></font></span>
							"
"2008-11-18 16:43:04 +0100",1,,"2008-11-18 16:43:04 +0100",2008-10-10,"Pierwszy numer &#8222;Promyków nadziei&#8221; - gazetki redagowanej przez rodziców naszych pacjentów.   ","<p class=""MsoNormal""><font size=""2"" face=""Trebuchet MS""><span style=""font-size: 10pt; font-family: 'Trebuchet MS';""><o:p>&nbsp;</o:p></span></font></p>
<p class=""MsoNormal""><font size=""2"" face=""Trebuchet MS""><span style=""font-size: 10pt; font-family: 'Trebuchet MS';""><span style=""font-style: italic;"">Promyki nadziei to sposób 
na trwanie w ludzkiej godności, kiedy przytłaczają życia 
przeciwności</span>.<o:p></o:p></span></font></p>
<p style=""text-align: right;"" class=""MsoNormal""><font size=""2"" face=""Trebuchet MS""><span style=""font-size: 10pt; font-family: 'Trebuchet MS';"">E. 
Gruza<o:p></o:p></span></font></p>
<p class=""MsoNormal""><font size=""2"" face=""Trebuchet MS""><span style=""font-size: 10pt; font-family: 'Trebuchet MS';"">W numerze znajdziecie <span style=""font-style: italic;"">Historie sercem pisane</span>, <span style=""font-style: italic;"">Słowo kapelana hospicyjnego</span> i pełną nadziei <span style=""font-style: italic;"">Historię Michałka</span>.</span></font></p><p class=""MsoNormal""><br></p><p class=""MsoNormal"">Pobierz pierwszy numer <a href=""http://www.speedyshare.com/959694810.html""><span style=""font-style: italic;"">Promyków nadziei</span></a><br><font size=""2"" face=""Trebuchet MS""><span style=""font-size: 10pt; font-family: 'Trebuchet MS';""><o:p></o:p></span></font></p>
							
							
							
							
							
							
							
							
							
							
							
							
							
							"
"2008-11-18 10:08:58 +0100",1,,"2008-11-18 10:08:58 +0100",2008-10-26,"Modlitwa zaniesiona na Jasną Górę","<span style=""font-size: 10pt; font-family: 'Trebuchet MS','sans-serif';"">
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt; text-indent: 35.4pt;""><span style=""font-size: 10pt; font-family: 'Trebuchet MS','sans-serif';"">25-26 października 2008 r. odbyła się wyjazdowa Grupa Wsparcia dla Rodzin w&nbsp;Żałobie.<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 10pt; font-family: 'Trebuchet MS','sans-serif';"">Miała odmienny charakter niż dotychczasowe, comiesięczne spotkania. Pojechaliśmy do Częstochowy, aby złożyć wszystkie cierpienia i troski przed obrazem Jasnogórskiej Pani. Modlitwa, śpiew i pogłębianie relacji międzyludzkich to główne cele tej krótkiej pielgrzymki. Tworzyliśmy dość dużą grupę &#8211; ponad 50-osobową. Szczęśliwie, w naszym gronie znalazło się<span style=""""> </span>dwóch kapłanów: nasz kapelan &#8211; o. Julian i zaprzyjaźniony ks. Tomasz, który grał na gitarze zachęcając do śpiewu <br></span></p><p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 10pt; font-family: 'Trebuchet MS','sans-serif';"">i modlitwy.<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt; text-indent: 35.4pt;""><span style=""font-size: 10pt; font-family: 'Trebuchet MS','sans-serif';"">Nocleg i wyżywienie zapewniły nam bardzo życzliwe siostry Brygidki. W ich klasztorze o. Julian odprawił Mszę Świętą i poświęcił medaliki, którymi obdarował osierocone rodzeństwo. Dla każdej rodziny przygotowaliśmy <span style=""""></span>upominek w postaci tomiku wierszy ks. Jana Twardowskiego pt. &#8222;Odwrotna strona rozpaczy&#8221;.<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt; text-indent: 35.4pt;""><span style=""font-size: 10pt; font-family: 'Trebuchet MS','sans-serif';"">W niedzielę na Mszę Świętą wybraliśmy się na Jasną Górę. Po nabożeństwie spacerowaliśmy po Częstochowie i wspólnie uczestniczyliśmy w Apelu Jasnogórskimi. Później rozmawialiśmy o dzieciach, które odeszły. Atmosfera zrozumienia i akceptacji towarzyszyła intensywnym jeszcze emocjom, rozbudzonym wspomnieniami i wypowiedziami rodziców.<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt; text-indent: 35.4pt;""><span style=""font-size: 10pt; font-family: 'Trebuchet MS','sans-serif';"">Trzeba dodać, że pielgrzymkowy wyjazd planowaliśmy od dawna, ale termin (październik &#8211; miesiąc maryjny) był pomysłem Emanuela, ojca jednego z pacjentów. Bardzo dziękujemy za troskę, zaangażowanie, pomoc i motywację do działania.<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt; text-indent: 35.4pt;""><span style=""font-size: 10pt; font-family: 'Trebuchet MS','sans-serif';"">Dziękujemy także wszystkim rodzicom i rodzeństwu za wspólną modlitwę, śpiew, serdeczność i zaufanie. Cieszymy się, że były z nami rodziny, które nie przyjeżdżały dotąd na Grupę Wsparcia. Wierzymy, że wspólny wyjazd coś zmienił i przekonał wszystkich, że są miejsca, gdzie można znaleźć pomoc i ludzie, którzy na Was czekają.<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt; text-indent: 35.4pt;""><span style=""font-size: 10pt; font-family: 'Trebuchet MS','sans-serif';"">Dzielenie z Wami tych dwóch dni było dla personelu, który organizował wyjazd, prawdziwą przyjemnością. Wkrótce jedziemy na Andrzejki z osieroconym rodzeństwem, a na kolejną pielgrzymkę (tym razem do Lichenia), już namawia nas Emanuel.<o:p></o:p></span></p>
<p class=""MsoNormal"" style=""margin: 0cm 0cm 0pt;""><span style=""font-size: 10pt; font-family: 'Trebuchet MS','sans-serif';""><o:p></o:p></span></p></span>
							
							
							
							
							
							
							"
"2008-10-31 11:23:27 +0100",1,,"2008-10-31 11:23:27 +0100",2008-11-09,"Msza Święta i kolejne spotkanie Grupy Wsparcia dla Rodzin w Żałobie","<P class=MsoNormal style=""MARGIN: 0cm 0cm 0pt; mso-pagination: widow-orphan; mso-hyphenate: auto""><SPAN style=""FONT-SIZE: 10pt; FONT-FAMILY: 'Trebuchet MS','sans-serif'; mso-fareast-font-family: 'Times New Roman'; mso-font-kerning: 0pt; mso-fareast-language: PL""><STRONG>Listopadowej modlitwie zawsze towarzyszy wyjątkowa aura zadumy i refleksji. Pragniemy zaprosić Państwa do wzięcia udziału w intymnej rozmowie z najbliższymi w czasie Mszy Świętej w intencji zmarłych pacjentów, która odbędzie się 9 listopada o godzinie 11.00 w kościele pod wezwaniem Świętego Krzyża na Ostrowie Tumskim. Zaraz po nabożeństwie odbędzie się spotkanie<SPAN style=""mso-spacerun: yes"">&nbsp; </SPAN>Grupy Wsparcia będące okazją do rozmów, wymiany doświadczeń i przeżyć.<?xml:namespace prefix = o ns = ""urn:schemas-microsoft-com:office:office"" /><o:p></o:p></STRONG></SPAN></P>
<P class=MsoNormal style=""MARGIN: 0cm 0cm 0pt""><SPAN style=""FONT-SIZE: 10pt; FONT-FAMILY: 'Trebuchet MS','sans-serif'""><o:p>&nbsp;</o:p></SPAN></P>
<P class=MsoNormal style=""MARGIN: 0cm 0cm 0pt""><SPAN style=""FONT-SIZE: 10pt; FONT-FAMILY: 'Trebuchet MS','sans-serif'""><o:p>&nbsp;</o:p></SPAN></P>
<P class=MsoNormal style=""MARGIN: 0cm 0cm 0pt""><SPAN style=""FONT-SIZE: 10pt; FONT-FAMILY: 'Trebuchet MS','sans-serif'"">Ideą przyświecającą każdemu hospicjum jest ulżenie cierpieniom swoich pacjentów. Mamy świadomość, że śmiertelna choroba bliskiego, zwłaszcza własnego dziecka, brata lub siostry, <SPAN style=""mso-bidi-font-style: italic"">dotyczy, a czasem wręcz paraliżuje całą rodzinę<I>. </I></SPAN>Wrocławskie Hospicjum dla Dzieci swoją opieką otoczyło więc także rodziny swoich podopiecznych &#8211; zwłaszcza po ich śmierci. Cztery lata temu rozpoczęła swoją działalność <B>Grupa Wsparcia dla Rodzin w Żałobie</B>. Początkowo comiesięczne spotkania prowadzone były przez psychologów &#8211; dziś opieramy się na samopomocy, spontanicznych opowieściach, a przede wszystkim zrozumieniu uczuć towarzyszących tragicznej chwili. Od blisko roku przebiegają one według podobnego scenariusza: rozpoczynają się Mszą Świętą w intencji zmarłych pacjentów odprawianą przez hospicyjnego kapelana, następnie<B style=""mso-bidi-font-weight: normal""> </B>poczęstunek przy kawie i herbacie i bardzo długie, a przede wszystkim niezwykłe rozmowy wypełnione wspomnieniami i spokojną refleksją tych, którzy chcą i potrafią słuchać. Niezwykłe jest poczucie bliskości, wzajemności i ludzkiego zrozumienia związane z cierpieniem, samotnością i bezradnością, które uwalnia najbardziej skrywane emocje<SPAN class=msoIns><INS cite=mailto:Beata%20Nawrotkiewicz dateTime=2008-10-30T15:20><FONT color=#008080>,</FONT></INS></SPAN> a jednocześnie przynosi ulgę i świadomość współobecności. Pragniemy dotrzeć do wszystkich rodzin dotkniętych tragedią śmierci w wyniku nieuleczalnej choroby i poprzez kolejne spotkania odnawiać w nich zatraconą wiarę w życie. <o:p></o:p></SPAN></P>
<P class=MsoNormal style=""MARGIN: 0cm 0cm 0pt""><SPAN style=""FONT-SIZE: 10pt; FONT-FAMILY: 'Trebuchet MS','sans-serif'"">Dziś chcemy podziękować wszystkim, którzy obdarzyli nas zaufaniem i codzienną sympatią wyrażaną w tak ciepły i przyjazny sposób. Wierzymy, że nasze comiesięczne spotkania stanowią ważny moment w życiu Waszym i Waszych rodzin, bowiem stają się okazją do oderwania od codzienności.<o:p></o:p></SPAN></P>"
"2008-11-18 17:02:54 +0100",1,,"2008-11-18 17:02:54 +0100",2008-11-18,"Nie święci garnki lepią...","<p style=""margin-bottom: 0cm; line-height: 150%;""><br></p><p style=""margin-bottom: 0cm; line-height: 150%;""><br></p><p style=""margin-bottom: 0cm; line-height: 150%;"">&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; Jeśli nie święci
garnki lepią, to znaczy, że każdy może spróbować. A okazja
nadarza się wyborna, ponieważ 29 listopada w Zespole Szkół Ekola przy ul. Zielińskiego 56 od godziny 12.00 odbywać się
będą warsztaty ceramiczne dla dzieci &#8211; pacjentów hospicjum i ich
rodzeństw. Razem z nimi w zajęciach, prowadzonych przez rzeźbiarkę,
panią Martę Szczygłowską, wezmą udział aktorzy teatru
AdSpectatores i Teatru Polskiego. Każdy znajdzie coś dla siebie &#8211;
świąteczne ozdoby, biżuteria i rzeźba użytkowa staną się z
pewnością naszymi małymi dziełami sztuki. Wszystkie prace zostaną
wypalone w specjalnym piecu garncarskim, a w czasie Mikołajek
wręczone dziecięcym autorom, którzy zabiorą je do domów lub
przekażą na aukcje. Aktorzy oraz wolontariusze, biorący udział w
warsztatach, już podjęli decyzję o zlicytowaniu swoich prac w
czasie akcji &#8222;Żółte Mikołaje&#8221; Radia RAM i aukcji prowadzonych
po grudniowych spektaklach AdSpectatores. 
</p>
<p style=""margin-bottom: 0cm; line-height: 150%;""><br>
</p>
<p style=""margin-bottom: 0cm; line-height: 150%;"">Do zobaczenia w
sobotę!</p><p style=""margin-bottom: 0cm; line-height: 150%;"">Odwiedź stronę rzeźbiarki Marty Szczygłowskiej: <a href=""http://www.wypalarnia.com"">www.wypalarnia.com</a></p><p style=""margin-bottom: 0cm; line-height: 150%;""><br></p><p style=""margin-bottom: 0cm; line-height: 150%;""><br>
</p>

							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							
							"
"2008-12-03 14:56:01 +0100",1,,"2008-12-03 14:56:01 +0100",2008-11-30,"Andrzejkowy wyjazd do Szczytnej","<p style=""margin-bottom: 0cm; line-height: 150%;""><font face=""Trebuchet MS, sans-serif""><font size=""2""><br></font></font></p><p style=""margin-bottom: 0cm; line-height: 150%;""><font face=""Trebuchet MS, sans-serif""><font size=""2""><br></font></font></p><p style=""margin-bottom: 0cm; line-height: 150%;""><font face=""Trebuchet MS, sans-serif""><font size=""2"">W
ostatni weekend listopada odbył się kolejny już wyjazd Grupy
Wsparcia dla Rodzin w Żałobie &#8211; tym razem pojechaliśmy do
Szczytnej koło Polanicy Zdrój. Nasza wycieczka rozpoczęła się o
godzinie 9:30 we Wrocławiu. Po około dwóch godzinach dotarliśmy
do ośrodka w Szczytnej, gdzie rozpakowaliśmy bagaże i zjedliśmy
obiad. Następnie udaliśmy się na zwiedzanie kopalni złota, po
której oprowadziła nas przemiła przewodniczka &#8211; gawędziła i
opowiadała niesamowite historie o przeszłości, przeplatając je
zabawnymi anegdotami. Kolejnym punktem w naszym planie była
przejażdżka kolejką podziemną, wizyta w muzeum minerałów i
oczywiście kupowanie pamiątek. Późnym popołudniem
wróciliśmy do ośrodka, gdzie czekała na nas pyszna kolacja, która
niepostrzeżenie przemieniła się w wieczorno-nocną imprezę
andrzejkową wypełnioną rozmowami, radosnym śmiechem, zabawami i tańcami. </font></font>
</p>
<p style=""margin-bottom: 0cm; line-height: 150%;""><font face=""Trebuchet MS, sans-serif""><font size=""2"">Wspólnie zjedliśmy niedzielne
śniadanie, a następnie udaliśmy się do pobliskiego kościoła na Mszę Świętą do
pobliskiego kościoła. Po powrocie </font></font><font face=""Trebuchet MS, sans-serif""><font size=""2"">złożyliśmy życzenia naszemu solenizantowi - Andrzejowi i</font></font><font face=""Trebuchet MS, sans-serif""><font size=""2""> okazało się, że nasz ośrodek
odwiedził Święty Mikołaj, który zostawił prezenty dla
wszystkich dzieci. </font></font>
</p>
<p style=""margin-bottom: 0cm; line-height: 150%;""><font face=""Trebuchet MS, sans-serif""><font size=""2"">Listopadowy
wyjazd zorganizowaliśmy głównie z myślą o osieroconym rodzeństwie naszych pacjentów, ponieważ chcieliśmy stworzyć im możliwość
wspólnej, zupełnie beztroskiej, zabawy i sportowej rywalizacji
(tenis stołowy, bilard i cymbergaj) doskonale odrywającej od
codzienności. Tymczasem stał się on także miejscem spotkania
dla rodziców, którzy mieli okazję do rozmów i wspólnego
nacieszenia się widokiem uśmiechniętych pociech. </font></font>
</p>
<p style=""margin-bottom: 0cm; line-height: 150%;""><font face=""Trebuchet MS, sans-serif""><font size=""2"">Pragniemy
podziękować serdecznie wszystkim, którzy włączyli się w
organizację wyjazdu, szczególnie:</font></font></p>
<ul><li><p style=""margin-bottom: 0cm; line-height: 150%;""><font face=""Trebuchet MS, sans-serif""><font size=""2"">Stasiowi,
	dzięki któremu udało się zorganizować policyjny autokar</font></font></p>
	</li><li><p style=""margin-bottom: 0cm; line-height: 150%;""><font face=""Trebuchet MS, sans-serif""><font size=""2"">mamom,
	które upiekły ciasta i pomogły w przygotowaniu posiłku</font></font></p>
	</li><li><p style=""margin-bottom: 0cm; line-height: 150%;""><font face=""Trebuchet MS, sans-serif""><font size=""2"">tatom za pomoc przy przenoszeniu
	sprzętu muzycznego i produktów spożywczych</font></font></p>
	</li><li><p style=""margin-bottom: 0cm; line-height: 150%;""><font face=""Trebuchet MS, sans-serif""><font size=""2"">dzieciom &#8211; bez Waszego uśmiechu i radosnego nastawienia ten wyjazd
	nie byłby tak wspaniały</font></font></p>
</li></ul>
<p style=""margin-bottom: 0cm; line-height: 150%;""><br>
</p>

							
							
							
							
							
							
							
							"
"2008-12-01 14:33:19 +0100",1,,"2008-12-01 14:33:19 +0100",2008-12-01,"Niedzielne spotkanie mikołajkowe","<br><br><br><style type=""text/css"">
	<!--
		@page { size: 21cm 29.7cm; margin: 2cm }
		P { margin-bottom: 0.21cm }
	-->
	</style>
<p style=""margin-bottom: 0cm;"">Zapraszamy serdecznie na
przedświąteczne spotkanie podopiecznych i rodzin hospicjum, które
odbędzie się w <span style=""font-weight: bold;"">Gimnazjum nr 40</span> przy <span style=""font-weight: bold;"">ulicy</span> <span style=""font-weight: bold;"">Morelowskiego 43</span>.
Rozpoczniemy Mszą Świętą o godzinie <span style=""font-weight: bold;"">12.30</span>, a zaraz po niej
połamiemy się opłatkiem, złożymy świąteczne życzenia i
wspólnie usiądziemy do posiłku. Doszła nas plotka, że na
spotkanie zaproszony jest także Święty Mikołaj, który zna
mnóstwo zabaw i (podobno) ma worek prezentów dla grzecznych dzieci.</p>
<br>
							
							
							
							
							"
